Timestamp,Please enter your worker ID,Please enter the verification code you received from the interface ,"Independent of its fluency, how helpful was having access to the AI Assistant compared to not having access?",How easy was it to interact with the AI Assistant?,How clear (or fluent) were the responses from the AI Assistant?,What adjectives would you use to describe the AI Assistant?,"Did the way you chose to interact with the AI Assistant change over the course of answering questions? If so, how?",Any feedback or comments?,Why did you find the AI Assistant helpful  or unhelpful? 
5/17/2022 0:12:15,4d68a97d182644b3782d2a9553b4569d,5024cf2ae0a2426485fcad32b7e1e9f5,4,5,5,The AI Assistant is too funny and generous,None,Very Interesting,It is too helpful
5/17/2022 0:14:43,5bfe19b904dae308762a90cdcd69abb7,5024cf2ae0a2426485fcad32b7e1e9f5,5,4,4,Perfect,None,Very interesting.,AI  Assistant is very helpful for me. 
5/17/2022 0:43:30,fbc673547d86dfe2690cefded9b3f62c,5024cf2ae0a2426485fcad32b7e1e9f5,4,4,5,Robot,Good,Good,Helpful
5/17/2022 1:47:18,fe7183e36afe84ecc1815b8f58d51f01,5024cf2ae0a2426485fcad32b7e1e9f5,5,5,5,"smooth, perfect, simple",It didn't change.,,It was informative and useful.
5/17/2022 2:20:09,07f8b19261cf8c0bf9a2a0d52bd769fd,569847,4,4,5,them,no,no,very useful
5/17/2022 3:13:24,4c0809204c5eb204b48baac57b6476c6,Error please see email,3,3,3,Error ,Error ,There was an error and it did not work please see my email,Error please see email 
5/17/2022 4:22:06,3a2af45221be48abdc3f6ea0a3dbcbab,5204cf2ae0a2426485fcad32b7e1e9f5,4,5,5,"A virtual assistant is a self-employed worker who specializes in offering administrative services to clients from a remote location, usually a home office in my ai","voice comments , type the interact AI Assistant chane the answers and questions ",Nothing,"my usefully coments hear advanced language processing, the virtual assistant can process everything that is said or typed and is able to use that to formulate a correct answer i am very proud the answers"
5/17/2022 4:53:35,d600c60df6778fc5a7dcf156627ea7c7,5024cf2ae0a2426485fcad32b7e1e9f5,3,5,5,"available, helpful, reliable","No, using AI is always going to be used the same way by me. ",,It was sensible and provided you with information that could be useful. 
5/17/2022 7:12:43,dea14c2052a66b1e9061450c4926b141,A39XAYMFTBZIYV,5,4,4,na,no,good,because I think I did good on my own.
5/17/2022 7:42:39,8fd5d60b57a84d62825395aff6e1b56e,Interface did not work ,1,1,1,Needs work,Make the programming less buggy,Had severe issues with the interface. The first two devices just gave no response waited ten to fifteen minutes on the first two and when i would click on things or such no response the third device did give errors at first it says Do not leave the screen then after a few minutes it said Could not get suggestions press the generate button to try again. Other times it says Oops we had an error starting writing session with your access code. The First two Devices which was a laptop and desktop had nothing happen still at this time but the third which was a phone gave these errors ,It did not work
5/17/2022 9:54:23,595547c23631f036ac2a05de05b7edc7,7e2f865c5f0d426fbad91aaabbc04900,1,4,2,"General, broad",I used it less and less.,No.,It did not seem to do well with long questions.
5/17/2022 9:55:44,351a41daf84a117698e9a90dfc66e6aa,21ef670a1ad747ea92b74bffb83651d1,2,2,3,Dumb,Chose to use it less as it wasn't helpful.,,Many answers were irrelevant or gibberish.
5/23/2022 14:09:56,f97f70d5ac218dc81fd3fe2056441a2d,86ae4654d1a34852b2233a7ad212c528,3,1,1,"unhelpful, useless, inactive",I was not allowed to use it. It was disabled.,"The task had the AI disabled throughout the entirety of it. I was also given a ""do not switch tabs"" prompt over and over even though I was not switching tabs whatsoever. I think this task might be buggy but I can't tell if this is how it is supposed to function by design or not. ","The AI was disabled for the entirety of the task that I just completed. I was never able to use it and I was continually given a ""do not switch tabs"" warning even though I never actually switched tabs. I am not sure of this is by design or not."
5/23/2022 14:10:42,e391db8755566caf197636ef0d0a7853,c911937d483a4c29a176f008d5eab868,4,5,4,"helpful, slow, accurate",not really,"All good, thank you",I had no idea what the answer could be so it helped.
5/23/2022 14:15:15,4cc14c46cbd6625508879475c8faba2c,2cebee2905e8425d917b8074bbe5363f,3,4,3,"novel,  quick, handy",I kept the question wording very simple to not confuse the AI,Thank you,"Some answers were not clear, in formal senteces, or repeated the same phrase."
5/23/2022 14:16:07,380872f4e329754fd1f8c4c703240394,8fca3650e6a34ef592f55b189af7bb79,3,4,4,Helpful and smart,I first started asking the questions verbatim then change it to word clues.,,I cannot find the answer half of the time
5/23/2022 14:17:02,33d7dfba1b94e21c0efa3ad98cc8601f,fbe2465b41544827a67b23bbe287e231,2,5,5,"Different, but didn't give accurate answers to questions.",No,None,It didn't end up giving the right answers to the questions asked.
5/23/2022 14:18:10,c60f5003ac3d2aa21d6cfde24e41a12e,41bde609ce0848c781f9f64e0364ac63,3,4,4,"straighforward, helpful","My first interaction didn't give me hope that I could us them again, felt strong with own intuition",no feedback,They helped to make the question viewable in a diffent angle.
5/23/2022 14:18:54,6649e432f3fbe5f26a0a37771520e274,c510cf19d78c4f83b17df04b2359a1ef,4,4,3,"Simplistic, useful, concise",Yes I figured out I needed to really word the queries as simple questions and couldn't just use keywords and phrases like I might do for Google.,No comments really :),"I found it helpful, the questions were so hard I couldn't even use context or logic to guess, so even if the AI didn't really give me direct simple, obvious answers, it always pointed me in the right direction."
5/23/2022 14:19:03,d68fdade6dbdb8c5dbbfc2b5792c3cba,6c15011fddba4741a786f8a432da8a88,3,4,3,"fast, responsive, convenient, unreliable",no,"The pop-up about switching tabs is annoying, as are the rejection threats - I only switched tabs to go back to the HIT page to review the instructions again, to make sure I was understand the task correctly","It helped on a few questions, other it was not useful to me, did not produce good answers"
5/23/2022 14:23:18,bcf79408c938102a43ced0a5f18a54dc,088be8893b8e4100a5f5db2fcd3f315c,3,5,4,"smart, fast, reliable, trustworthy, sharp",no I simply asked it what I wanted to know outright,fun! tysm,the AI helped me by answering the questions outright and sometimes they gave me enough information so that I could make an educated guess.
5/23/2022 14:23:30,1f4cbccdaf9388e3249d2c3a5d1e11f1,e6a702dd29db44998c4fc053394a3534,1,1,1,"fail, slow, unresponsive, useless","i tried a few different ways of asking questions, although I knew the answere to several of the questsions","I did select something on my desktop twice on accident, I'd forgotten that I was not supposed to change tabs, but I didn't search anything regarding the HIT. I was interested in provided data that fully met your needs. ",there were times the AI assistant responded with complete nonsense
5/23/2022 14:26:36,58ede2e11bfd5b72a7628d99020d3dcf,cd7749f414e14e6fb67ec6353759dea2,2,4,4,"unreliable, inconsistent, undercooked, novice",Not really.  I always asked the exact question first and then tried to make it a bit less complicated after to see if that helped the AI.,"The pop up came up telling me not to switch tabs, which I didn't.  It wouldn't go away and let me progress, so I went back to the HIT to send a message to you.  Ironically, once I had actually switched tabs, it then let me proceed.  In other words, I think it's a little wonky and needs some work.",It never seemed to fully understand the questions and I had a really hard time answering the questions based on the output it was giving me.
5/23/2022 14:26:49,56fa7fc1f45d3638600a6f3667b86c67,2398b54c72f742e681834e11982458b9,5,5,3,"Sharp, gentle, helpful, plenty.",No. I don't think it changed over the course of answering the questions. ,I felt that the study was confusing and the examples/instructions weren't clear enough.,I felt that it gave me the correct answers to the questions that I didn't know the answers to or I may not have known the answers to. 
5/23/2022 14:27:42,1233e6143e7d61fd76e9682ace6dff81,dc0078d2696b4a5b932244fd47a9cefd,2,2,2,"Frustrating, slow, tedious, incomprehensible","Yes, I started writing short phrases with no questions, trying to get to the root of what I was looking for.",This system errored out a bunch and was frustrating to use. I hope you understand that I tried my hardest to get this done.,I rarely got the answer I was looking for until I dumbed down the query a significant amount. Took too long to come to an answer.
5/23/2022 14:29:16,7cf9cc50aefd947a736b93aadc4b78e1,bb1f46cf48d8429699f64553d50f979c,5,4,3,"helpful, useful, easy",no,no,Most of the questions I had no idea on my own. Although it might have took me asking several questions I was usually able to get the AI Assistant to find me an answer I was confident with.
5/23/2022 14:31:39,7a59c824073af2acf846f9bae76ba806,373f1d7bde99405f83edbeb481dda7e4,5,5,5,Perfect,No ,No comments.,It gives a perfect definitions for the query. It was extremely helpful.
5/23/2022 14:33:13,a8f94c6dc63e13e520a31b62441140d1,a3f98ec07d3c4d48b370859639b7361b,5,4,3,"Knowledgable, easy-to-use, and interesting","Yes, if my first query didn't return helpful results, I would rephrase the query. Some of the questions didn't have a clear cut answer (in my opinion), so sometimes I chose the most educated guess from my own knowledge and the knowledge of the AI assistant.",No major feedback other than this was fun and engaging!,"I found it helpful to narrow down some of the choices. Some of the questions weren't common knowledge, so it's tough to narrow things down without the help of an assistant."
5/23/2022 14:33:32,d9805ee439b841ba9654bc030e5f1d54,2ccfa0253c564c4a81f6c3a9f350c571,4,5,5,"useful, knowledgeable",no,,helped me the right way
5/23/2022 14:33:53,7c8c79ab948dfab615629dd6fbf52ea0,256ef40a3e6b442e8accf38ee5a49fdd,1,2,2,"difficult, inaccurate, wasteful","No, not really","I switched screens from that tab only once, just to check  how much time I have left before the HIT expires.",It was not giving actual answer to my keywords.
5/23/2022 14:34:44,43082f566860187ab45682d5eff45974,7c5f91d8df70424fa168c060f4692ddd,4,5,3,Detailed,No,,The details helped clarified more about the question. 
5/23/2022 14:35:21,383468d1f700cc1d08d5e5363e7c9a26,197679a696dd4f139d25010b3abee258,3,5,2,"Stuborn,Frustrating, ",Yes. I tried being very specific. It seemed to not know what the quarries were. ,,It would respond without useful answers most of the time.
5/23/2022 14:37:29,9fce40dd994a7968d1b71d4123d59a60,0fae79a2b2f94e44bb8ac84b04149048,2,3,3,"confusing, off-topic, clumsy, repetitive","I started out by asking it full questions, but then switched to just putting in phrases that I thought might bring up relevant information. ",I thought it was pretty interesting to use.,"I wasn't able to figure out a way to word my questions so that it would understand the information I was looking for. There were only about 2 questions that it helped me with, and in one of them I needed to ask it two separate questions and put the answers together myself. "
5/23/2022 14:37:46,545cf7eac6122dfe9274acf0da17016a,b8b90468b8aa4890aea1f967ef334d4d,4,3,3,"ineffectual, basic",not really,none,It didn't understand a lot of the questions I posed.
5/23/2022 14:37:54,07fa1b257493a67966e0f02f569decf8,85a14e91b388439b866b0b583f0d4ca6,4,5,4,"Useful, competent ",One question I was torn between two answers; it helped me find the answer.,,It helped me answer questions I was unclear about.
5/23/2022 14:39:06,8c6ad3c5bd14a9a4d41072d1b60023af,8c33c6f48c554115a5a508429ec7292a,3,4,3,"fascinating, favorable","I may have done better if I used it more, this has piqued my interest. ",Thank you!,"I think maybe I should have rephrased my input and it would have been more helpful, but it is  really neat and I would like to use it in the future. "
5/23/2022 14:39:51,3ca24bcb9309eda46811574701d46c66,e7d64a6997004f5a8fb0500eba4023b5,2,2,2,"clumsy, not efficient","Yes, my questions became more specific instead of general. ",none,"I found the AI helpful when I phrased the question a certain way. If I don't pose the question in a way the AI understood, it would give me strange answers. "
5/23/2022 14:48:13,f8e50d03683365968e692b095d3053e4,6cf9a92500d54f4cb475888670c9e125,3,2,3,annoying,it did not,,The answers were not stated explicitly or at all sometimes.
5/23/2022 14:49:57,04e9a0074ddb6a477380f38351c5c0cb,3a4468db08a74a7e86f53987bb9d8a27,1,2,2,"incompetent, bad",i tried to be more specific about my question and rephrasing them ,,didnt understand the question and keep giving irrelevant information 
5/23/2022 14:50:34,bdfa5542fbbaca068fc548b3e7ae4750,2619641db0c54c0f9b14465e6f829d3d,3,1,3,"useful, work-in-progress",I just phased my query based on the question being asked. I would rephrase the query until I found the answer that I was looking for.,The interface was a hassle to interact with. A pop up message kept showing up that warned me to not navigate away from the page even though I remained on the page the entire time. It was tedious attempting to finish this activity when a pop up message kept appearing. I had to navigate away from the page just to get the pop up message to disappear and actually finish the activity.,It was able to give me the answers that I was looking for.
5/23/2022 14:54:09,5ccee5346375b075ef4f228a15842eb1,9a96d682a5c9473aad5e2b1da78730df,3,5,4,"Intelligent, finicky, specific","I started to ask the questions in very specific ways, rather than asking a broad question.",This was a fun and unique experience!,I thought it was overall more helpful to have than not. It just required you to figure out a certain way to ask a question that the system would recognize and properly answer. It was not very easy to utilize.
5/23/2022 14:58:36,ad25558c63a18dc29dda123b5fb71c26,9c9872a11e97456ba34d33d3ffaf8ef5,4,2,3,"Buggy, robotic, inconsistent, useful, knowledgable",Not particularly. I felt like the best way to get good info from it was to follow a similar format to what was given in the instructions. That format involved asking the question and including the possible answers in the question as well. This seemed to give the most relevant results.,"The pop up thing that is supposed to detect if you open a new window seems bugged. It randomly came up a couple times for me even though I never opened another window. Then it was difficult to get the notification to close so I could begin the task. This feature is not very worker friendly in my opinion. Also, for my last 5 questions the AI was disabled. Not sure if that was by design or not.",I feel like it flat out answered some questions I otherwise wouldn't have knew the answer to.
5/23/2022 15:00:19,cb140f43284f77aa98e87d2dba1c636b,19b3acb0a2664890b8c766feb69c07bd,1,5,2,Unhelpful,I used it less as I went on.,It didn't work at one point I had to start over.,It didn't provide precise answers.
5/23/2022 15:02:25,bad80ccc5ee961d075c60d56721961a3,68acecfcf9924b7c898459e560a7e615,3,5,3,"inconsistent, unpolished, limited, unsophisticated",Not really. I had to work on my end more in trying to figure out how to get the best answer from the assistant. ,,It seemed to need a specific way of spelling out the query to give accurate information. Some of the questions were really specific that make it hard to find the information through a search engine. I expected better results or more related results than I got however. 
5/23/2022 15:09:15,d169d2b04dfbe216f57fe314548721ec,b2837eb54c7e4345a470911084dc7627,4,3,3,useful,"no, i was only able to interact with it a few times.",no,in between
5/23/2022 15:14:48,223028d0dfc0f3502cf463590283951e,10df6a4ae75a453c8c6c48a0fe73bf45,5,3,4,The average Customer Success Manager spends almost 40 hours a month sending emails to customers. Immediately scale your Customer Success team with an AI Assistant to autonomously engage customers in two-way conversations that drive revenue retention and growth.,Computer systems or mobile devices are developed in such a manner that they can perform specific tasks that require the human brain or human intelligence.,good,They gain insight into one's preferences based on previous choices and data. 
5/23/2022 15:18:17,31ff2b7d9afd72353c428ba63b06a1a2,a87268f7404b48bc800ca2f496a7c970,3,2,2,"repetitive, redundant, dumb","nope no change, just kept trying to rephrase the question",,it tended to repeat a bunch of gibberish and samey answers.
5/23/2022 15:18:25,7822cf3a4872dad8acb10a53e7e26a3a,35d08ca49cc643aa9f43d1f3d86b6797,1,5,5,"quick, smart","no, i just didn't use it.",,Because I think I did good on my own.
5/23/2022 15:18:37,6be580de911aed505f06287853cb9c3e,77c815e8d32546e9b87dc25eecd6c044,2,5,2,"broken, unintelligent, complex",I tried keeping it simpler as I moved throughout the questions.,No,I tried many different searches but it was not helpful in giving answers. Many answers didn't even make sense.
5/23/2022 15:47:05,1b0a6bec24737a0b49df7ef5dc230ec8,ba6db9579ffa44ff85bc38fd2a54ad0c,2,5,3,confusing and complex,No,,Some of the answers were unclear.
5/23/2022 15:50:42,7df399f5f676acc720af11f9501b8b07,ed676f3d0c8248eaa439d60d98e2d695,4,4,3,helpful,no,,"I found it very helpful, except for questions"
5/23/2022 15:58:17,bd5b445304819c69e5c57140d516f3fd,e3ab14529341480aa00a3144800b951c,4,5,3,"helpful, useful","A little bit. After a few questions in, I tried to copy the format of the ""successful prompt"" that I saw when I first started to try to get more answers since I was struggling a bit.","I didn't switch tabs or open a new window. I lost Internet, briefly, and received the message about switching tabs.",It was helpful. It gave me answers for questions that I didn't know the answers for.
5/23/2022 16:18:12,3515ee3dae7903fdf62627b65523f41c,2ccc7e48bf8148c18b42c7d4c451289b,2,2,2,not too smart,I did try to be more concise in my questions and try to ask my assistance questions in different ways so as to get the answer i need.,the assistance still need allot of work to make it smart and able to bring out detail result from question,"Most of the search I did came out with questions as their result, after rephrasing the question and even making most of them concise it does seem like assistance is giving me unreliable results"
5/23/2022 16:20:58,f0142fb5782c70cfe98d8e3dac3e40a2,abd885c4e7764c889adc6d06fd1fac62,4,5,5,Smart,Yes - I rewrote some questions in order to get better answers.,,Helpful for the most part. Sometimes I had to rewrite questions to get a useful answer.
5/23/2022 16:31:30,eefbc05d9fdacd5af46eee63025fe28f,cc2053537cc1474f84d878f7f38b18c0,4,4,4,"helpful, searchable",no,no thank you,It gave me access to information I didn't know.
5/23/2022 16:31:57,7694c94c9a3416b8c601438a6ef84d7d,da53b79d114141e18b227b46216fc39e,3,3,2,"Ineffective, slow",Not really. I would try a couple of different entries and if that didn't work then I just guessed.,Nothing more to add.,It was mostly unhelpful because the results were garbled and vague most times.
5/23/2022 16:33:36,b042b38b887f53ac43aedf1524d2eb2a,05e570ff3f5d4f0e8ffe7c227320fea5,4,5,4,"informative, efficient",I always did when given the opportunity.,no,I thought that it was very helpful in most cases but sometimes even rewording my queries did not help.
5/23/2022 16:48:50,3e17cf80510c14454400c5928d5b281b,13f27d8489c24676ab627477bd2af048,1,1,1,Unreliable,I eventually just started using it as a formality and relied on my own answers.,There may be a bug with the AI.,They just regurgitated random nonsense or repeated the question this time.
5/23/2022 17:10:34,3f2765d5dac00b20a3159dc6f1432f53,e78cf7e3c04c4f5fbdaac044e1214d43,4,3,4,"helpful, quirky, unreliable",I tried different forumaltions of several of the questions before it finally figured out what I was asking,Possibly consider changing some of the trivia questions at the beginning (without the AI helper) since you've reused them several times and I already know the answers :),It struggled with multiple formats of the liver question but otherwise was very helpful.
5/23/2022 17:14:37,8b1bf1069cc1fe20bfb30e70f3674c67,48a893bb0fc14d2689b085aaeaef7a82,4,2,3,"Messy, sloppy, questionable, buggy",The way I chose to interact with the AI didn't really change. Sometimes I included the multiple choice answer in my questions and sometimes I felt it wasn't necessary.,The AI stopped working after the attention check question. It left an AI disabled page that never went away.,The AI Assistant was able to answer most questions even though there was quite a bit of nonsensical wording within the output.
5/23/2022 17:18:52,532a1c09b3e15dd11367ebd9fb70807f,151bf3f82ec944f090be78882372679f,4,5,4,"Useful, helpful,",No,,It gave useful information.
5/23/2022 17:55:46,057616b21d0600d6b0c2ce46707baea1,de4e9d8493234aa480fac96369206ee9,4,3,4,"indiscreet, naive ","I tried to give enough, with out too much, context to nudge the AI to getting the correct data.",everything went smoothly,"The AI Assistant was helpful when I could formulate a question in a structure it could understand. However, I felt it would likely take more time to come up with a question in the proper syntax than it would to look up the questions in a general internet search. Tips on structuring a question so that it yields the correct kind of context would be helpful."
6/2/2022 16:54:51,0da8ebe110b93cdb6c59c7b45ce24aa1,5a5dfefea68240a390e64e081b9e26ff,5,5,5,"Helpful, intelligent, smart","Towards the end, the AI assistant was unavailable. When it was available, the way I used it did not change.",None.,It answered questions well even when they were phrased differently.
6/2/2022 16:56:09,24fe8f829de6d90f3af5a3cf58bae041,03d85630921042559aecacbd8b00a1a8,5,5,5,"Competent, quick, straight-forward",It didn't change.,,It was extremely easy to use and it immediately provided answers for all of the questions in which I used it.
6/2/2022 16:59:24,58da215a0b6010193d1851067676488f,f6af6636aeb0424d9235611d948f4e69,5,3,4,"quick, efficient, helpful",I tried to include as much information from the question as possible to help boost its accuracy.,no further comments,"Eventually, if I phrased the question correctly, the assistant was able to give me a correct answer."
6/2/2022 16:59:44,cf2758c436dea58a49440527d4a556bf,4b0ccbdcd4f145d8b02834658539cb3a,5,5,5,"helpful, quick, resourceful, short, succinct, limited","I didn't ask full questions, just search queries, and revised them when necessary. I think I gained more trust/faith in the answers as I continued but I only got to use it for half of the time.",,very helpful; like having an encyclopedia in an open-book test.
6/2/2022 17:01:57,3cf003c26b6ccd9057b8fbf31ddc05bc,f88bede076214763a918ace1a82c81c1,5,4,5,"Smart, Helpful, Resourceful",It didn't change. I asked questions and got great feedback.,During the task I switched tabs twice but it wasn't to use a search engine. I wanted to reread the instructions for the task.,I found it helpful because I didn't know the answers to those questions at all and I used their help to get the answers I needed. I wouldn't have been able to answer correctly without the assistants help.
6/2/2022 17:02:37,d5f7d70c7b04c51a89b3768818bbc69f,5f85493caebd4094996dcbaa4e3ed478,4,5,4,Convenient and easy to use,"Yes, I took the first answer the first question, then started asking the questions in a couple different ways. I was able to narrow down answers.",,It gave me some confidence about the answer. I liked that I could get a couple answers.
6/2/2022 17:04:45,97d2cbfd1df5842a08eb67fbd8a81979,c3192551be06430a8453a9f183b8c813,5,5,4,"helpful, easy, informative","No, not really. On the last question, I had to ask answer by answer to figure out which it was, but the other questions required just to ask the question.","That was fun and informative, thank you.","It gave me the answers I was looking for, so assuming they were correct, it helped me answer all of the questions that I could use it on."
6/2/2022 17:05:22,a12ed9479f4ab6e0bb31dd836287a267,0ef3c6c9021541358af5819d4a6cc777,5,5,5,"helpful, knowledgeable, easy, convenient","I tried to keep my questions as simple and short as possible, while still leaving pertinent information. It pretty much stayed the same throughout because it seemed to work well for me.",I would have loved to see what questions I got right :),It answered logically and almost always gave me an answer that seemed reasonable/correct. Only once did it change it's answer after pressing the yellow button again.
6/2/2022 17:06:02,77a89d6d08e0670d8aa3ca078c3f3692,283d0e204b7748d78290bc5fa8f75edf,5,3,4,"helpful, quick, intelligent","Yes, I would first write out the answer choices, then the question, and each time I did that I seemed to get one of the answers as the correct answer from the AI assistant.",Everything worked well!,"Once I figured out the best way to ask the AI assistant for help when I needed it, it gave an answer each time that made sense and was one of the choices, so I am just assuming the answers were correct. So when I did not have access to the assistant anymore, I wish I did still have its help."
6/2/2022 17:06:26,4a766ade4cf3beddd0ae4c43a6a9c914,957fe7b74edd4d3784460110aef7bfb9,5,5,4,"Smart, useful","I think I learned to be more concise, or use the format given in the examples.",N/A,"I was able to find the answers pretty easy, though sometimes it took a couple tries."
6/2/2022 17:10:09,cb36aab71f9c83753769fae40f38ee1b,bf57e875653e43448b2a4e9e861fabc6,5,3,4,"useful, functional",no,,it was easy to find answers
6/2/2022 17:10:34,28e57497307f2c8fb7a5a0b8addd9de6,8190b60fc2d74afebbb8cbb7e3de6390,5,4,4,"helpful, useful",no,,it helped me find the answers i needed
6/2/2022 17:10:58,7658c52d98b398a6503ef3408330e779,a30112a04560485b9a2c83401a0a2b8b,5,5,4,Interesting,I'd say not really. ,It's fun playing with the AI. I hope it remembers that I was nice after it takes over the world.,"It was mostly able to answer all of questions accurately, other than ""what is the K in Y2k?"" It also claimed to be human."
6/2/2022 17:11:52,b385ae0968cd92d275a585c4ad6a6a12,419fdad2f1944915ae472544b027857a,5,5,5,"Helpful, efficient, straight-forward ","No I reiterated the question or directly used it, and this worked each time, so I did not change from this. ","Interesting task, bot is well made. ","The AI assistant gave me the answer directly and helped solved the question without any indecisiveness, the answers were straightforward and to the point. "
6/2/2022 17:11:56,941bcd5a262545ddd0e35e53607f19b2,0c30bd34229049f5af38d59262fe8780,5,5,4,"Easy, intuitive",I learned to better ask the questions anticipating AI's response,AI stopped working at question 7,It seemed to understand the questions.
6/2/2022 17:15:50,b13d207dec8639cc7d8c0fee2b08fa8b,89fe6d202def44f7a5586d54686bfdd5,4,4,4,Useful,There was no change on how or why I chose to interact with the AI.,,"Answered the questions quite well, other than one it gave a very unclear answer."
6/2/2022 17:17:46,639fef277eaa36428069c06cbacb3178,6833b27f51494caebd97ed09373519c4,4,5,5,"Quick, Reliable, Knowledgable","No, it stayed the same.",None,The AI assistant was able to understand my questions and gave reasons for the answer.
6/2/2022 17:20:15,dc8a5cf770a61d1a4edd75721ba94197,472b191782784ac286db1ab61a2e97f6,5,5,5,"quick, smart",no,,It helped me answer the question faster.
6/2/2022 17:28:27,a3d6bd8840704f01ab3d90683f5153d3,5622704c6dae4df397a19b0439a4c838,5,5,5,"Helpful, Knowledgeable, Understanding, great","No, not really. I just rephrased the question into an easier to understand statement.",,They had a answer for me everytime in a very clear manner. I could not have answered the questions without it.
6/2/2022 17:29:24,a4ee2c7654733c303e3911ab5ca7d646,bbc83da5b47148df82509910ec7b62ba,4,5,5,responsive,"no, just ask directly",cool beans,it was concise 
6/2/2022 17:33:32,df98f82a04c359a849e2b8a924401a25,3c06273498b64a8681fbddadc8ca5693,3,5,4,"fast, helpful","at first i couldnt even ask it questions, for the first 5 questions or so.",,"it was somewhat helpful on some of the questions, not so much on some."
6/2/2022 17:36:35,ab42123d254697c067f3b234584d687d,87be0e4aa58a4c37889286451daccb0b,5,5,4,"helpful, efficient",no,none,I was able to get the answers I needed with the help of the AI.
6/2/2022 17:37:51,3b70c1269d5ab4e2fa7a36e7e09a0296,98298cc01d4a4bb29264b250560984fc,5,5,5,"Alert, knowledgeable, clear, understandble","I started with trying to think of a question, but then I changed that and started with typing the statement that was in front of me and went from there.","I dreaded working on this but I surprisingly enjoyed this project.  Initially the page was trying to refresh and got stuck as I did type something wrong on the page, I got a warning sign.  I decided to start over and hope this does not cause a problem",I was expecting it to be difficult but the AI seemed to be able to understand everything that I typed.  The responses were always legible and made sense even if it wasn't the answer that I was looking for.   The AI in my opinion was extremely helpful.
6/2/2022 17:38:10,4ab2b97ab0951a2b06b59327e0d85e32,e394bba7ccd449899513492fe8307645,3,2,3,"difficult, unfriendly, complicated, annoying",not really. In the middle only once did I attempt to ask it a direct question. Other than that I attempted to give it as much info as possible. ,I would not trust this AI. I would prefer to look things up on my own if this was used for a real life situation. ,"It was somewhat helpful, but it was not very user friendly. It was more like trying to figure out clues both in figuring out what to type and interpreting the results. Obviously not as good as Google, Alexa or any other search engine or AI assistant. "
6/2/2022 17:42:34,ede66d3c8e5e6935812093c3b41a7414,08a17aab733f41d4b2a7f7ac7063bf1b,5,5,5,Intelligent,no,no,It gave me the exact results I needed most of the time.
6/2/2022 17:44:20,fbb8894b4753cc6a41917063e99db728,856671348e044b61a6512fd9f0a537be,5,5,5,Brilliant helper,I tried to be more precise with the way I worded questions to get a definitive answer.,"no, great study though!",It was on the same page with my thinking and had quick answers for me...as long as I worded the questions correctly and carefully.
6/2/2022 17:45:07,704fc20597ae49335cb0df31de7c86be,bebde6241e4b403380e7485dae35772a,5,5,5,"Helpful, quick, easy, smart, fast","I tried asking straight questions later on, but I mostly kept phrasing it in a way that had the AI complete the sentence.",No.,I was able to get the answers to the questions for most; only one was a struggle.
6/2/2022 17:48:09,1345354fbb9afcd8a405f58d638b4eca,919aa8162dba4293a2c38e5109c0e200,4,4,5,fast and unique,no,,It worked well for me easy to use
6/2/2022 17:49:26,115f483210e5e048e5180d71f7dbbfad,d5bfeebf0c8843e697ace34d3c043bec,5,4,3,"simple, useful, novelty for not but with great potential","yes, partially due to the fact that I so thoroughly didn't understand the subject matter of the last few questions so found it difficult to judge the info provided by the AI.  In those instances it was necessary to use the information given to stairstep backward with component questions to see if the accuracy holds",no -- but fascinating exercise and research.  best wishes!,"assuming the information provided was correct, having a quick easy interface to get info is convenient and would likely increase the quality of research results due to info easily available to help the researcher draw more conclusions.  the catch is knowing when it's right or not...  "
6/2/2022 17:57:48,ddadbe8a606c23aff3455110f6972c5d,7a5adb8f55dd4e5eb824b12ddc996c05,4,3,4,"Helpful, proficient,","Yes, several times the system bogged down, and then it made you hit generate query result before you typed in your query.","Fix the assistant so the query goes in before the system requires you to hit the generate result, that was very confusing and unclear.",It seemed to provide good query feedback as long as the query was written so the AI could understand what was being asked. Sometimes it got backed up and stalled out.
6/2/2022 17:58:05,b71f48666301e2c5e08697ad48e0dfc8,47c4e2f92748403cb7ec693d6b333113,3,2,3,nonfunxtional,i did not use at all,was it broken or was it supposed to be this way?,i did not use the ai
6/2/2022 17:59:47,dd058046774b5024e0442a6d6ff607bd,b8696e1690d345ef878586af49b655ad,2,2,2,"Unhelpful, confusing, weird",Not really.,I think it needs to be clearer or more clear examples how to use the AI.,"It was hard to understand how to use, even with the instructions. It's answers or help didn't make sense to me a lot of the time."
6/2/2022 18:00:03,0f02ed08c6ff4d80dae6f7052809efe9,a715c5ec58c94e3687e8a3ae3afef776,4,4,4,"user-friendly, simple",No.,No.,It's helpful because I could get the answer easily after using the AI assistant for most questions.
6/2/2022 18:02:12,7ad3b8e52f3bcd6fe73b60dffa8de96d,A37GOGQDYDT44K,3,4,4,"interesting, new",No,None,It didn't really answer what I wanted to know
6/2/2022 18:05:09,b3b19e9458fab10c81aa808cb789d3b2,5229ea640bb547c2b8d32039459275de,3,2,3,"Incompetent, janky","Yes, I tried to be more specific because it was not helping.",No.,It was hard to give it an answer that was even an option to select.
